Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTR;HS;AS;HST;AST;HY;AY;HR;AR
D1;02.04.11;Hoffenheim;Hamburg;0;0;D;D;16;6;3;2;2;1;0;0
D1;02.04.11;Kaiserslautern;Leverkusen;0;1;A;D;6;9;1;5;1;2;0;0
D1;02.04.11;Mainz;Freiburg;1;1;D;A;12;7;3;1;1;3;0;0
D1;02.04.11;Werder Bremen;Stuttgart;1;1;D;D;27;6;8;2;1;3;0;0
D1;03.04.11;FC Koln;Nurnberg;1;0;H;D;15;12;3;4;2;2;0;0
D1;03.04.11;Wolfsburg;Ein Frankfurt;1;1;D;D;27;6;9;4;1;5;1;0
D1;08.04.11;Ein Frankfurt;Werder Bremen;1;1;D;D;14;19;8;6;3;3;0;0
D1;09.04.11;Freiburg;Hoffenheim;3;2;H;A;14;15;5;9;1;5;1;0
D1;09.04.11;Hamburg;Dortmund;1;1;D;H;8;15;4;7;0;1;1;0
D1;09.04.11;Hannover;Mainz;2;0;H;H;21;9;9;4;1;3;0;1
D1;09.04.11;Nurnberg;Bayern Munich;1;1;D;A;24;9;3;4;2;2;0;1
D1;09.04.11;Schalke 04;Wolfsburg;1;0;H;D;13;6;4;1;1;3;0;0
D1;09.04.11;Stuttgart;Kaiserslautern;2;4;A;H;8;15;3;5;1;2;0;0
D1;10.04.11;Leverkusen;St Pauli;2;1;H;D;19;6;5;1;1;3;0;0
D1;10.04.11;M'gladbach;FC Koln;5;1;H;H;19;8;10;4;1;2;0;0
D1;15.04.11;Mainz;M'gladbach;1;0;H;D;10;11;2;3;1;1;0;1
D1;16.04.11;FC Koln;Stuttgart;1;3;A;D;13;22;4;11;6;2;0;0
D1;16.04.11;Hamburg;Hannover;0;0;D;D;11;15;3;6;1;3;0;0
D1;16.04.11;Hoffenheim;Ein Frankfurt;1;0;H;D;16;13;4;5;3;3;0;0
D1;16.04.11;Kaiserslautern;Nurnberg;0;2;A;A;10;12;2;7;1;2;0;0
D1;16.04.11;Werder Bremen;Schalke 04;1;1;D;D;15;14;5;6;0;3;0;0
D1;16.04.11;Wolfsburg;St Pauli;2;2;D;H;9;19;3;8;2;2;0;0
D1;17.04.11;Bayern Munich;Leverkusen;5;1;H;H;5;7;4;3;1;1;0;0
D1;17.04.11;Dortmund;Freiburg;3;0;H;H;20;2;5;2;1;2;0;0
D1;21.04.11;Freiburg;Hannover;1;3;A;A;14;9;7;5;0;2;0;0
D1;23.04.11;Ein Frankfurt;Bayern Munich;1;1;D;D;8;18;2;9;4;3;0;0
